Date,Open,High,Low,Close,Adj Close,Volume
18-01-2019,39.375,39.470001,38.994999,39.205002,37.629391,135004000
22-01-2019,39.102501,39.182499,38.154999,38.325001,36.784748,121576000
23-01-2019,38.537498,38.785,37.924999,38.48,36.933521,92522400
24-01-2019,38.5275,38.619999,37.935001,38.174999,36.640778,101766000
25-01-2019,38.869999,39.532501,38.580002,39.439999,37.854939,134142000
28-01-2019,38.947498,39.0825,38.415001,39.075001,37.504608,104768400
29-01-2019,39.0625,39.532501,38.5275,38.669998,37.115887,166348800
30-01-2019,40.8125,41.537498,40.057499,41.3125,39.652184,244439200
31-01-2019,41.5275,42.25,41.139999,41.610001,39.937737,162958400
01-02-2019,41.740002,42.244999,41.482498,41.630001,39.956924,130672400
04-02-2019,41.852501,42.915001,41.82,42.8125,41.0919,125982000
05-02-2019,43.215,43.77,43.087502,43.544998,41.794964,144406400
06-02-2019,43.662498,43.892502,43.212502,43.560001,41.809353,112958400
07-02-2019,43.099998,43.485001,42.584999,42.735001,41.017513,126966800
08-02-2019,42.247501,42.665001,42.105,42.602501,41.065716,95280000
11-02-2019,42.762501,42.802502,42.3125,42.357498,40.829544,83973600
12-02-2019,42.525002,42.75,42.424999,42.7225,41.181389,89134000
13-02-2019,42.8475,43.119999,42.48,42.544998,41.010277,89960800
14-02-2019,42.427502,42.814999,42.345001,42.700001,41.159698,87342800
15-02-2019,42.8125,42.924999,42.4375,42.605,41.068119,98507200
19-02-2019,42.427502,42.860001,42.372501,42.732498,41.191021,75891200
20-02-2019,42.797501,43.330002,42.747501,43.0075,41.4561,104457600
21-02-2019,42.950001,43.092499,42.575001,42.764999,41.222351,68998800
22-02-2019,42.895,43.25,42.845001,43.2425,41.682625,75652800
25-02-2019,43.540001,43.967499,43.487499,43.557499,41.986267,87493600
26-02-2019,43.427502,43.825001,43.2925,43.5825,42.010365,68280800
27-02-2019,43.302502,43.75,43.182499,43.717499,42.140495,111341600
28-02-2019,43.580002,43.727501,43.23,43.287498,41.726006,112861600
01-03-2019,43.57,43.787498,43.2225,43.7425,42.164597,103544800
04-03-2019,43.922501,44.4375,43.4925,43.962502,42.376652,109744800
05-03-2019,43.985001,44,43.634998,43.8825,42.299545,78949600
06-03-2019,43.6675,43.872501,43.485001,43.630001,42.056152,83241600
07-03-2019,43.467499,43.610001,43.005001,43.125,41.569366,99185600
08-03-2019,42.580002,43.267502,42.375,43.227501,41.668175,95997600
11-03-2019,43.872501,44.779999,43.837502,44.724998,43.111649,128044000
12-03-2019,45,45.6675,44.842499,45.227501,43.596024,129870400
13-03-2019,45.5625,45.825001,45.23,45.427502,43.788807,124130000
14-03-2019,45.974998,46.025002,45.639999,45.932499,44.275589,94318000
15-03-2019,46.212502,46.8325,45.935001,46.529999,44.851532,156171600
18-03-2019,46.450001,47.0975,46.447498,47.005001,45.309406,104879200
19-03-2019,47.087502,47.247501,46.48,46.6325,44.95034,126585600
20-03-2019,46.557499,47.372501,46.182499,47.040001,45.34314,124140800
21-03-2019,47.505001,49.0825,47.452499,48.772499,47.013153,204136800
22-03-2019,48.834999,49.422501,47.695,47.762501,46.039581,169630800
25-03-2019,47.877499,47.994999,46.650002,47.185001,45.48291,175381200
26-03-2019,47.915001,48.220001,46.145,46.697498,45.012997,199202000
27-03-2019,47.1875,47.439999,46.637501,47.1175,45.417839,119393600
28-03-2019,47.237499,47.389999,46.8825,47.18,45.478088,83121600
29-03-2019,47.4575,47.52,47.134998,47.487499,45.774498,94256000
01-04-2019,47.91,47.919998,47.095001,47.810001,46.085365,111448000
02-04-2019,47.772499,48.615002,47.762501,48.505001,46.755287,91062800
03-04-2019,48.3125,49.125,48.287498,48.837502,47.075809,93087200
04-04-2019,48.697498,49.092499,48.285,48.922501,47.157726,76457200
05-04-2019,49.112499,49.275002,48.982498,49.25,47.473423,74106400
08-04-2019,49.105,50.057499,49.084999,50.025002,48.22047,103526800
